Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
387.0,20.0,94.0,157.0,14.3,938.0,845.0,7.0,36.84
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0,8.54
290.4,0.0,96.2,168.1,9.4,961.2,865.0,100.0,48.97
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28.0,26.85
387.0,20.0,94.0,157.0,11.6,938.0,845.0,3.0,34.77
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28.0,25.18
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28.0,39.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14.0,35.96
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28.0,13.29
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56.0,79.4
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0,59.76
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28.0,61.24
424.0,22.0,132.0,168.0,8.9,822.0,750.0,28.0,72.1
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28.0,55.65
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.62
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.9
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14.0,33.7
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28.0,31.97
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.3
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3.0,20.73
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28.0,32.88
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56.0,45.08
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0,27.53
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7.0,23.52
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90.0,43.38
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.1
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3.0,9.87
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28.0,52.83
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7.0,18.13
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28.0,32.76
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28.0,58.52
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3.0,13.82
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28.0,35.23
312.7,144.7,0.0,127.3,8.0,999.7,822.2,28.0,44.52
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28.0,53.52
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0,33.8
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100.0,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14.0,29.55
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365.0,25.08
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28.0,26.4
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.52
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.7
313.0,161.0,0.0,178.0,10.0,917.0,759.0,28.0,52.44
252.3,0.0,98.8,146.3,14.2,987.8,889.0,3.0,21.78
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28.0,40.68
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,38.0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.33
288.0,192.0,0.0,192.0,0.0,932.0,717.8,90.0,50.53
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28.0,32.66
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14.0,31.81
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28.0,27.68
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.5
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180.0,41.05
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28.0,12.18
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3.0,12.47
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28.0,39.3
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.4
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100.0,39.23
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3.0,19.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28.0,37.27
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.7
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0,33.69
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56.0,55.83
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28.0,26.14
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7.0,19.54
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.09
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3.0,7.75
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.41
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56.0,48.59
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.8
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28.0,27.23
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56.0,53.96
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,23.79
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28.0,29.65
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.1
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90.0,37.91
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.5
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28.0,46.23
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.2
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.3
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28.0,37.36
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.6
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28.0,25.73
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28.0,21.54
249.1,0.0,98.8,158.1,12.8,987.8,889.0,28.0,30.85
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0,24.28
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7.0,47.1
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90.0,21.86
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28.0,33.69
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3.0,19.52
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28.0,44.28
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28.0,32.05
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28.0,15.57
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3.0,4.78
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7.0,17.17
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56.0,56.34
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,55.25
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28.0,23.74
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28.0,25.22
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.12
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28.0,33.72
424.0,22.0,132.0,178.0,8.5,882.0,750.0,3.0,32.01
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28.0,12.25
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28.0,57.92
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3.0,3.32
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7.0,45.9
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.23
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,31.38
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28.0,52.82
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0,14.7
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28.0,18.03
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3.0,17.37
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14.0,25.62
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.91
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100.0,47.82
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56.0,36.64
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.43
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100.0,59.3
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28.0,34.29
491.0,26.0,123.0,210.0,3.9,882.0,699.0,7.0,33.49
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28.0,35.87
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28.0,29.87
355.0,19.0,97.0,145.0,12.3,967.0,871.0,28.0,55.45
451.0,0.0,0.0,165.0,11.3,1030.0,745.0,28.0,78.8
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3.0,12.45
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28.0,39.05
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.59
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100.0,40.15
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7.0,14.99
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7.0,23.4
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90.0,41.68
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0,31.18
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,57.23
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28.0,31.03
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3.0,4.83
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100.0,45.37
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.1
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0,33.19
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28.0,43.38
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28.0,38.2
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28.0,53.58
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365.0,38.89
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,20.42
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,59.49
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28.0,17.95
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3.0,15.52
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28.0,21.07
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3.0,15.04
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28.0,15.57
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100.0,43.06
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90.0,47.78
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100.0,43.58
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3.0,11.58
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7.0,15.69
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7.0,10.35
194.7,0.0,100.5,170.2,7.5,998.0,901.8,100.0,44.28
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,36.94
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28.0,12.46
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14.0,24.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56.0,51.72
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28.0,23.79
300.0,0.0,120.0,212.0,10.0,878.0,728.0,28.0,23.84
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100.0,40.71
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.4
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3.0,13.33
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7.0,14.8
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,12.37
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100.0,49.97
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56.0,36.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3.0,6.28
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28.0,19.99
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28.0,31.97
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.8
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14.0,30.39
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.9
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,39.0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.12
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.7
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28.0,27.87
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56.0,31.35
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365.0,36.15
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28.0,37.44
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28.0,64.02
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0,20.77
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28.0,18.03
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56.0,32.85
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28.0,31.84
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56.0,35.34
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56.0,50.77
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56.0,39.15
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,31.35
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28.0,27.68
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.08
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28.0,25.97
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14.0,20.08
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7.0,41.67
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7.0,56.1
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,29.0
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3.0,15.44
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,3.0,15.61
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100.0,40.57
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,56.0,53.46
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,17.34
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28.0,39.44
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3.0,24.4
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100.0,47.74
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28.0,37.42
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100.0,44.21
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7.0,10.09
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.3
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56.0,39.64
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.89
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14.0,20.92
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.7
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0,9.31
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56.0,54.9
250.0,0.0,95.7,191.8,5.3,948.9,857.2,3.0,8.49
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14.0,38.6
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28.0,40.93
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.8
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28.0,32.4
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.6
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.7
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14.0,38.77
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.66
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28.0,33.04
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.7
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3.0,13.52
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.38
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100.0,63.53
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7.0,14.2
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7.0,25.45
317.9,0.0,126.5,209.7,5.7,860.5,736.6,28.0,40.06
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180.0,27.63
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28.0,39.32
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56.0,44.14
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28.0,26.97
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28.0,33.66
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14.0,33.01
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56.0,38.56
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.4
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28.0,40.87
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14.0,33.73
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.91
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28.0,51.33
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.9
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100.0,42.35
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28.0,29.16
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28.0,31.9
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14.0,20.73
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3.0,11.85
314.0,145.3,113.2,178.9,8.0,869.1,690.2,28.0,46.23
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.8
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7.0,50.51
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7.0,40.29
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.5
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14.0,36.99
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28.0,39.45
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100.0,58.61
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7.0,34.57
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.3
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28.0,43.58
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7.0,33.4
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7.0,52.61
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7.0,14.5
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,35.36
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90.0,39.66
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180.0,51.04
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3.0,21.91
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14.0,35.23
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.28
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,25.18
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14.0,21.5
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3.0,33.8
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7.0,24.44
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56.0,60.32
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28.0,27.77
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28.0,39.16
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100.0,56.74
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28.0,15.42
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.32
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28.0,41.68
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28.0,65.91
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0,33.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28.0,36.44
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.42
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,32.63
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7.0,37.92
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,23.35
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14.0,34.24
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28.0,41.94
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28.0,27.83
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100.0,53.66
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28.0,23.74
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.33
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90.0,31.02
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90.0,21.95
252.3,0.0,98.8,146.3,14.2,987.8,889.0,28.0,50.6
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28.0,40.93
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0,37.42
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.52
264.5,111.0,86.5,195.5,5.9,832.6,790.4,28.0,41.54
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3.0,9.45
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.95
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14.0,21.6
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28.0,33.73
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28.0,33.42
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3.0,12.54
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,3.0,14.4
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100.0,34.56
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,39.3
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120.0,39.38
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14.0,29.59
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100.0,37.96
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14.0,24.43
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3.0,7.32
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100.0,49.99
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90.0,35.17
321.3,164.2,0.0,190.5,4.6,870.0,774.0,28.0,57.22
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28.0,46.24
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14.0,24.92
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28.0,25.72
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28.0,44.39
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28.0,38.46
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.3
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0,12.05
250.0,0.0,95.7,191.8,5.3,948.9,857.2,100.0,41.16
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90.0,50.73
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14.0,24.28
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3.0,41.64
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,21.75
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14.0,32.9
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.46
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100.0,60.95
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28.0,67.7
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28.0,37.36
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28.0,39.84
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1.0,12.64
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180.0,36.45
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.7
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28.0,15.09
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14.0,34.67
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28.0,37.43
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.27
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,57.03
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180.0,37.33
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.14
